pais,palabra,frecuencia,sentimiento
Portugal,unfriendly,2,negativo
Portugal,blaming,2,negativo
Portugal,ridiculous,4,negativo
Portugal,medal,1,positivo
Portugal,enjoys,1,positivo
Portugal,trap,3,negativo
Portugal,courtesy,1,positivo
Portugal,secured,2,positivo
Portugal,cuts,5,negativo
Portugal,restricted,2,negativo
Portugal,illegal,1,negativo
Portugal,apologize,1,positivo
Portugal,lowered,1,negativo
Portugal,freezes,1,negativo
Portugal,appreciates,1,positivo
Portugal,casual,2,positivo
Portugal,fire,6,negativo
Portugal,apology,2,positivo
Portugal,positives,7,positivo
Portugal,regrets,1,negativo
Portugal,suspended,2,negativo
Portugal,champs,2,positivo
Portugal,shaking,1,negativo
Portugal,obsessed,2,negativo
Portugal,relieved,1,positivo
Portugal,delicate,3,positivo
Portugal,exploration,2,positivo
Portugal,frustration,1,negativo
Portugal,war,2,negativo
Portugal,scared,9,negativo
Portugal,misery,1,negativo
Portugal,certainly,2,positivo
Portugal,convince,3,positivo
Portugal,convinced,4,positivo
Portugal,emotional,1,positivo
Portugal,screw,1,negativo
Portugal,ruins,3,negativo
Portugal,bomb,1,negativo
Portugal,satisfaction,1,positivo
Portugal,award,1,positivo
Portugal,truth,6,positivo
Portugal,laughing,2,positivo
Portugal,competent,3,positivo
Portugal,disappeared,2,negativo
Portugal,funniest,1,positivo
Portugal,ensure,1,positivo
Portugal,cuter,3,positivo
Portugal,puzzled,1,negativo
Portugal,inadequate,1,negativo
Portugal,rudely,1,negativo
Portugal,harassment,1,negativo
Portugal,warming,2,positivo
Portugal,painful,1,negativo
Portugal,reassuring,3,positivo
Portugal,detached,2,negativo
Portugal,encourages,1,positivo
Portugal,hesitating,2,negativo
Portugal,optimized,1,positivo
Portugal,accept,3,positivo
Portugal,successfully,1,positivo
Portugal,certainty,1,positivo
Portugal,forgive,1,positivo
Portugal,smiled,1,positivo
Portugal,hurt,6,negativo
Portugal,disgusting,1,negativo
Portugal,complained,4,negativo
Portugal,fabulous,4,positivo
Portugal,killer,4,negativo
Portugal,admired,1,positivo
Portugal,assure,1,positivo
Portugal,forced,2,negativo
Portugal,honor,1,positivo
Portugal,protect,1,positivo
Portugal,screws,3,negativo
Portugal,rotten,2,negativo
Portugal,upsetting,1,negativo
Portugal,affected,4,negativo
Portugal,warsaw,1,negativo
Portugal,commitment,1,positivo
Portugal,lying,3,negativo
Portugal,inconsiderate,2,negativo
Portugal,gratefully,1,positivo
Portugal,annoyance,1,negativo
Portugal,divine,2,positivo
Portugal,reached,5,positivo
Portugal,useless,1,negativo
Portugal,jealous,1,negativo
Portugal,questioned,1,negativo
Portugal,death,1,negativo
Portugal,friendship,1,positivo
Portugal,lag,2,negativo
Portugal,proactive,2,positivo
Portugal,dislike,1,negativo
Portugal,stressed,2,negativo
Portugal,angrily,1,negativo
Portugal,stall,2,negativo
Portugal,lol,2,positivo
Portugal,steal,4,negativo
Portugal,respects,4,positivo
Portugal,outrageous,1,negativo
Portugal,scam,1,negativo
Portugal,marvelous,1,positivo
Portugal,honesty,2,positivo
Portugal,satisfactorily,1,positivo
Portugal,perfection,2,positivo
Portugal,faith,1,positivo
Portugal,devoted,1,positivo
Portugal,amusement,1,positivo
Portugal,chaos,2,negativo
Portugal,attractive,5,positivo
Portugal,pretending,1,positivo
Portugal,fooled,1,negativo
Portugal,stronger,2,positivo
Portugal,unhappy,1,negativo
Portugal,shocks,1,negativo
Portugal,playful,5,positivo
Portugal,harmless,1,positivo
Portugal,jumpy,1,negativo
Portugal,compliments,1,positivo
Portugal,bitch,1,negativo
Portugal,kinder,1,positivo
Portugal,clueless,2,negativo
Portugal,increase,1,positivo
Portugal,hostile,1,negativo
Portugal,terrified,3,negativo
Portugal,stealing,1,negativo
Portugal,lies,2,negativo
Portugal,forgiven,1,positivo
Portugal,vibrant,2,positivo
Portugal,once-in-a-lifetime,1,positivo
Portugal,attract,1,positivo
Portugal,thoughtfully,2,positivo
Portugal,adventures,1,positivo
Portugal,warms,1,positivo
Portugal,exciting,4,positivo
Portugal,masterpiece,1,positivo
Portugal,precious,2,positivo
Portugal,stresses,1,negativo
Portugal,creativity,1,positivo
Portugal,joke,1,positivo
Portugal,risky,2,negativo
Portugal,fyi,1,positivo
Portugal,tops,1,positivo
Portugal,strengths,1,positivo
Portugal,gorgeousness,1,positivo
Portugal,boost,1,positivo
