pais,palabra,frecuencia,sentimiento
España,treasures,1,positivo
España,moody,1,negativo
España,fallen,2,negativo
España,invite,1,positivo
España,likeable,2,positivo
España,valued,2,positivo
España,passive,1,positivo
España,slam,1,negativo
España,stunned,2,negativo
España,warmest,5,positivo
España,ugh,4,negativo
España,sadness,1,negativo
España,heavenly,2,positivo
España,freaked,4,negativo
España,hated,3,negativo
España,accused,4,negativo
España,accusing,1,negativo
España,selfishness,1,negativo
España,perfecta,2,positivo
España,skeptical,1,negativo
España,tops,1,positivo
España,rainy,4,negativo
España,drowned,1,negativo
España,damaged,4,negativo
España,ruins,1,negativo
España,upset,6,negativo
España,stressful,6,negativo
España,supreme,1,positivo
España,unfair,1,negativo
España,trapped,1,negativo
España,damages,2,negativo
España,cheat,2,negativo
España,idiot,1,negativo
España,strength,2,positivo
España,advantageous,2,positivo
España,helpers,1,positivo
España,deceiving,1,negativo
España,charmers,1,positivo
España,grey,1,positivo
España,neatness,1,positivo
España,cuts,1,negativo
España,misread,1,negativo
España,prevented,2,positivo
España,pleasing,1,positivo
España,blissful,1,positivo
España,outrageous,2,negativo
España,cleared,4,positivo
España,eased,1,positivo
España,stresses,1,negativo
España,delightfully,1,positivo
España,adored,2,positivo
España,cutely,2,positivo
España,calmed,1,positivo
España,admiring,2,positivo
España,optimize,1,positivo
España,exploration,2,positivo
España,seriousness,1,negativo
España,commitment,1,positivo
España,teas,2,positivo
España,obstacle,1,negativo
España,enlightened,1,positivo
España,secured,3,positivo
España,demanding,3,negativo
España,thoughtfulness,3,positivo
España,escaping,1,positivo
España,sore,1,negativo
España,enthusiastically,1,positivo
España,swift,2,positivo
España,strange,7,negativo
España,disappointments,1,negativo
España,cleverly,1,positivo
España,yay,1,positivo
España,humor,5,positivo
España,overwhelmingly,1,negativo
España,accepted,4,positivo
España,solving,3,positivo
España,risks,1,negativo
España,xd,1,positivo
España,risky,1,negativo
España,vanity,1,negativo
España,safekeeping,1,positivo
España,obsessed,1,negativo
España,ruining,1,negativo
España,interests,3,positivo
España,alarming,1,negativo
España,prejudices,1,negativo
España,supports,1,positivo
España,heartwarming,2,positivo
España,suspicious,2,negativo
España,gratitude,1,positivo
España,sympathetic,2,positivo
España,dishonest,1,negativo
España,demanded,1,negativo
España,mistakenly,1,negativo
España,supported,2,positivo
España,cheered,1,positivo
España,fighting,1,negativo
